Actual_DO,Actual_pH,Actual_BOD,Predicted_DO,Predicted_pH,Predicted_BOD,Actual_WQI,Predicted_WQI,Actual_Category,Predicted_Category
9.8,8.2,2.0,9.14897,8.102909,2.582799,91.85714285714286,85.5213,Excellent,Good
9.8,8.4,2.6,9.127039,8.037353,2.0736725,87.4,88.74737,Good,Good
9.8,8.4,2.0,9.169366,8.09985,2.4771752,91.0,86.270134,Excellent,Good
9.8,8.2,2.2,9.129448,8.063195,2.2277474,90.65714285714286,87.724205,Excellent,Good
8.3,7.59,2.6,9.270046,7.372753,2.296618,83.37142857142857,90.97301,Good,Excellent
8.2,7.54,2.7,8.909809,7.450278,2.5053914,82.48571428571428,87.58694,Good,Good
8.7,7.6,2.8,8.789002,7.3976555,2.5130303,84.12857142857143,87.1626,Good,Good
9.0,7.56,2.5,9.002745,7.3957515,2.536921,87.6,88.09612,Good,Good
9.6,7.6,2.4,9.231013,7.3239384,2.2511308,91.02857142857142,91.25998,Excellent,Excellent
9.7,7.6,2.2,9.774978,7.3166637,2.0593076,92.72857142857143,95.16192,Excellent,Excellent
10.1,7.55,2.1,9.862865,7.332533,1.8883301,95.54285714285714,96.55921,Excellent,Excellent
10.2,7.58,2.0,10.215923,7.317447,1.7454827,96.5142857142857,99.24624,Excellent,Excellent
10.2,7.6,1.8,10.308216,7.3592873,1.6771295,97.62857142857143,99.93851,Excellent,Excellent
10.2,7.6,1.9,10.269226,7.413278,1.5766342,97.02857142857142,100.0,Excellent,Excellent
10.4,7.5,1.7,10.278173,7.41679,1.6279428,99.65714285714286,99.836975,Excellent,Excellent
10.4,7.6,1.6,10.365862,7.3772984,1.5280819,99.82857142857142,100.0,Excellent,Excellent
8.3,8.46,3.2,7.649237,8.267938,3.5079837,76.04285714285714,71.76427,Good,Good
8.1,8.45,3.6,8.247953,8.246123,3.2336261,72.6857142857143,76.49749,Good,Good
7.2,8.41,3.9,7.876977,8.258366,3.640985,66.55714285714285,72.14598,Medium,Good
6.6,8.31,4.3,7.2469473,8.227194,3.8613482,61.58571428571429,67.80724,Medium,Medium
6.8,8.35,4.0,6.779554,8.138639,4.0992975,64.21428571428572,64.422104,Medium,Medium
7.1,8.37,3.8,6.9089723,8.160645,4.005519,66.82857142857144,65.53756,Medium,Medium
7.2,8.45,3.7,7.1590967,8.19707,3.9227462,67.58571428571429,67.12871,Medium,Medium
7.5,8.53,3.5,7.374002,8.266762,3.8811643,69.94285714285715,68.154045,Medium,Medium
7.7,8.4,3.2,7.7740064,8.339842,3.7498403,73.3,70.628815,Good,Good
8.6,8.38,3.0,7.986157,8.281129,3.354423,79.08571428571429,74.31369,Good,Good
9.1,8.44,2.8,9.002375,8.339166,3.1472454,82.52857142857142,80.38913,Good,Good
10.4,8.31,2.6,9.450832,8.377338,2.9984574,90.78571428571428,83.36054,Excellent,Good
8.2,8.48,3.4,7.544296,8.251358,3.625739,74.25714285714285,70.60408,Good,Good
8.0,8.43,3.7,8.028198,8.2595825,3.5040054,71.67142857142858,73.71875,Good,Good
7.1,8.36,4.1,7.7441735,8.238186,3.7753315,65.07142857142858,70.762375,Medium,Good
6.5,8.26,4.4,7.068443,8.178624,4.021572,60.69999999999999,66.16154,Medium,Medium
6.6,8.3,4.2,6.6656737,8.091499,4.1599813,62.22857142857142,63.690628,Medium,Medium
6.9,8.32,3.9,6.719268,8.108471,4.125503,65.44285714285714,64.092735,Medium,Medium
7.0,8.41,3.8,6.946744,8.148623,3.981329,66.15714285714286,65.92308,Medium,Medium
7.3,8.45,3.6,7.182889,8.232799,3.9594064,68.6857142857143,66.87459,Medium,Medium
7.4,8.38,3.4,7.550454,8.2878895,3.8039901,70.68571428571428,69.4088,Good,Medium
8.5,8.36,3.2,7.628911,8.253335,3.5642786,77.47142857142858,71.38745,Good,Good
8.8,8.4,3.0,8.913075,8.330655,3.3746848,80.0,78.61446,Good,Good
10.3,8.23,2.8,9.269844,8.359819,3.1889234,89.42857142857143,81.387886,Good,Good
