Actual_DO,Actual_pH,Actual_BOD,Pred_DO,Pred_pH,Pred_BOD,Actual_WQI,Predicted_WQI,Actual_Class,Predicted_Class
7.2,7.5,1.1,7.1060333,7.5017133,1.3913388,92.0,92.0,Excellent,Excellent
7.1,7.5,1.1,7.128918,7.4968653,1.3834907,92.0,92.0,Excellent,Excellent
7.5,7.6,1.2,7.1022,7.502415,1.390382,92.0,92.0,Excellent,Excellent
7.2,7.6,1.1,7.2006087,7.5012565,1.369298,92.0,92.0,Excellent,Excellent
7.2,7.6,1.2,7.12727,7.5137115,1.3807324,92.0,92.0,Excellent,Excellent
7.1,7.5,1.1,7.131191,7.512932,1.3908975,92.0,92.0,Excellent,Excellent
7.2,7.6,1.1,7.1027255,7.5028067,1.3928947,92.0,92.0,Excellent,Excellent
7.2,7.5,1.2,7.1242337,7.5161357,1.3825381,92.0,92.0,Excellent,Excellent
7.1,7.5,1.1,7.1307545,7.4995375,1.3929002,92.0,92.0,Excellent,Excellent
7.2,7.6,1.2,7.099728,7.505729,1.3947964,92.0,92.0,Excellent,Excellent
7.2,7.7,1.4,7.1313477,7.512989,1.3922443,92.0,92.0,Excellent,Excellent
7.2,7.5,1.4,7.133121,7.5286593,1.4236219,92.0,92.0,Excellent,Excellent
7.3,7.7,1.1,7.148315,7.5004945,1.4202495,92.0,92.0,Excellent,Excellent
7.2,7.5,1.3,7.141144,7.539142,1.3834287,92.0,92.0,Excellent,Excellent
7.3,7.6,1.2,7.136093,7.5043325,1.4144852,92.0,92.0,Excellent,Excellent
7.1,7.5,1.2,7.1452794,7.517444,1.3978113,92.0,92.0,Excellent,Excellent
7.2,7.5,1.1,7.1003942,7.50759,1.4136107,92.0,92.0,Excellent,Excellent
7.3,7.5,1.3,7.1188693,7.504687,1.3977387,92.0,92.0,Excellent,Excellent
7.2,7.5,1.2,7.165559,7.496715,1.4065949,92.0,92.0,Excellent,Excellent
7.3,7.5,1.1,7.1316376,7.4981384,1.4045697,92.0,92.0,Excellent,Excellent
7.2,7.5,1.2,7.146663,7.497442,1.3894941,92.0,92.0,Excellent,Excellent
7.4,7.6,1.1,7.131987,7.4970455,1.4037329,92.0,92.0,Excellent,Excellent
